/Phi0 X,/Phi0 Y,/Phi1 X,/Phi1 Y,/Phi2 X,/Phi2 Y,/PhiMSBadd X,/PhiMSBadd Y,/PhiMSBrst X,/PhiMSBrst Y,/Phiacc X,/Phiacc Y,/Phioutadd X,/Phioutadd Y,/Phioutrst X,/Phioutrst Y,/VC0 X,/VC0 Y,/VC1 X,/VC1 Y,/VC2 X,/VC2 Y,/VC3 X,/VC3 Y,/VC4 X,/VC4 Y,/Vcout X,/Vcout Y,/dvalid X,/dvalid Y,/ip X,/ip Y
1.000103375e-09,0,1.000103375e-09,0,1.000103375e-09,0,1.000103375e-09,-2.101009432882984e-06,1.000103375e-09,-2.725374836871334e-06,1.000103375e-09,0,1.000103375e-09,-2.725988305100271e-06,1.000103375e-09,1,1.000103375e-09,2.352879317039032e-05,1.000103375e-09,3.174392282202482e-05,1.000103375e-09,3.173546426369966e-05,1.000103375e-09,2.657158855985145e-05,1.000103375e-09,-0.04678469294582568,1.000103375e-09,7.62419049802741e-08,1.000103375e-09,0,1.000103375e-09,0
1.000104125e-09,0,1.000104125e-09,0,1.000104125e-09,0,1.000104125e-09,-2.092991963559648e-06,1.000104125e-09,-2.727498482656852e-06,1.000104125e-09,0,1.000104125e-09,-2.728130282036732e-06,1.000104125e-09,1,1.000104125e-09,2.384118935355978e-05,1.000104125e-09,3.22179162606121e-05,1.000104125e-09,3.220316675838672e-05,1.000104125e-09,2.681444359094808e-05,1.000104125e-09,-0.04678476582099186,1.000104125e-09,7.593189478515184e-08,1.000104125e-09,0,1.000104125e-09,0
1.000105625e-09,0,1.000105625e-09,0,1.000105625e-09,0,1.000105625e-09,-2.080500679492042e-06,1.000105625e-09,-2.730310380090366e-06,1.000105625e-09,0,1.000105625e-09,-2.730947844131891e-06,1.000105625e-09,1,1.000105625e-09,2.424867659578944e-05,1.000105625e-09,3.279862445329793e-05,1.000105625e-09,3.278146633563413e-05,1.000105625e-09,2.712326945857397e-05,1.000105625e-09,-0.04678487103979111,1.000105625e-09,7.583161874935859e-08,1.000105625e-09,0,1.000105625e-09,0
1.000106374999999e-09,0,1.000106374999999e-09,0,1.000106374999999e-09,0,1.000106374999999e-09,-2.076479355190657e-06,1.000106374999999e-09,-2.730969931939472e-06,1.000106374999999e-09,0,1.000106374999999e-09,-2.731599851545472e-06,1.000106374999999e-09,1,1.000106374999999e-09,2.438103799262534e-05,1.000106374999999e-09,3.297125844236365e-05,1.000106374999999e-09,3.295563946579944e-05,1.000106374999999e-09,2.722054139334671e-05,1.000106374999999e-09,-0.04678490698682389,1.000106374999999e-09,7.593141479610385e-08,1.000106374999999e-09,0,1.000106374999999e-09,0
1.000107874999999e-09,0,1.000107874999999e-09,0,1.000107874999999e-09,0,1.000107874999999e-09,-2.070271773374898e-06,1.000107874999999e-09,-2.731377931186692e-06,1.000107874999999e-09,0,1.000107874999999e-09,-2.7319898752557e-06,1.000107874999999e-09,1,1.000107874999999e-09,2.458314155382475e-05,1.000107874999999e-09,3.322052384037606e-05,1.000107874999999e-09,3.320880818584032e-05,1.000107874999999e-09,2.736713675566437e-05,1.000107874999999e-09,-0.04678496038424325,1.000107874999999e-09,7.618172270447946e-08,1.000107874999999e-09,0,1.000107874999999e-09,0
1.000110874999998e-09,0,1.000110874999998e-09,0,1.000110874999998e-09,0,1.000110874999998e-09,-2.060471130853135e-06,1.000110874999998e-09,-2.730367188398248e-06,1.000110874999998e-09,0,1.000110874999998e-09,-2.730953109705864e-06,1.000110874999998e-09,1,1.000110874999998e-09,2.486771797517094e-05,1.000110874999998e-09,3.355064850845393e-05,1.000110874999998e-09,3.354532690421593e-05,1.000110874999998e-09,2.757355901746291e-05,1.000110874999998e-09,-0.04678502668253661,1.000110874999998e-09,7.664203698539868e-08,1.000110874999998e-09,0,1.000110874999998e-09,0
1.000112374999998e-09,0,1.000112374999998e-09,0,1.000112374999998e-09,0,1.000112374999998e-09,-2.055995744139977e-06,1.000112374999998e-09,-2.729338639592558e-06,1.000112374999998e-09,0,1.000112374999998e-09,-2.729918223626405e-06,1.000112374999998e-09,1,1.000112374999998e-09,2.498089962327322e-05,1.000112374999998e-09,3.368008602422523e-05,1.000112374999998e-09,3.367663829304232e-05,1.000112374999998e-09,2.765746576872581e-05,1.000112374999998e-09,-0.04678504727000847,1.000112374999998e-09,7.682507391305206e-08,1.000112374999998e-09,0,1.000112374999998e-09,0
1.000115374999997e-09,0,1.000115374999997e-09,0,1.000115374999997e-09,0,1.000115374999997e-09,-2.047085904482293e-06,1.000115374999997e-09,-2.726875478533613e-06,1.000115374999997e-09,0,1.000115374999997e-09,-2.72745032951771e-06,1.000115374999997e-09,1,1.000115374999997e-09,2.519328955016964e-05,1.000115374999997e-09,3.392983981344037e-05,1.000115374999997e-09,3.392831149872479e-05,1.000115374999997e-09,2.781875715426125e-05,1.000115374999997e-09,-0.04678508019558151,1.000115374999997e-09,7.709578195174122e-08,1.000115374999997e-09,0,1.000115374999997e-09,0
1.000121374999996e-09,0,1.000121374999996e-09,0,1.000121374999996e-09,0,1.000121374999996e-09,-2.02998378000577e-06,1.000121374999996e-09,-2.721465878014587e-06,1.000121374999996e-09,0,1.000121374999996e-09,-2.722045683436663e-06,1.000121374999996e-09,1,1.000121374999996e-09,2.558892241466034e-05,1.000121374999996e-09,3.440919871644371e-05,1.000121374999996e-09,3.440859995571662e-05,1.000121374999996e-09,2.81263863283707e-05,1.000121374999996e-09,-0.04678513947279801,1.000121374999996e-09,7.742622096691055e-08,1.000121374999996e-09,0,1.000121374999996e-09,0
1.000133374999993e-09,0,1.000133374999993e-09,0,1.000133374999993e-09,0,1.000133374999993e-09,-1.99931297140996e-06,1.000133374999993e-09,-2.71101028255149e-06,1.000133374999993e-09,0,1.000133374999993e-09,-2.711609631833237e-06,1.000133374999993e-09,1,1.000133374999993e-09,2.630573815838551e-05,1.000133374999993e-09,3.529196882956682e-05,1.000133374999993e-09,3.529127734058552e-05,1.000133374999993e-09,2.868928477935059e-05,1.000133374999993e-09,-0.04678527474169055,1.000133374999993e-09,7.78684058049497e-08,1.000133374999993e-09,0,1.000133374999993e-09,0
