/Phi0 X,/Phi0 Y,/Phi1 X,/Phi1 Y,/Phi2 X,/Phi2 Y,/PhiMSBadd X,/PhiMSBadd Y,/PhiMSBrst X,/PhiMSBrst Y,/Phiacc X,/Phiacc Y,/Phioutadd X,/Phioutadd Y,/Phioutrst X,/Phioutrst Y,/VC0 X,/VC0 Y,/VC1 X,/VC1 Y,/VC2 X,/VC2 Y,/Vcout X,/Vcout Y,/dvalid X,/dvalid Y,/ip X,/ip Y
1.000384601326284e-09,0,1.000384601326284e-09,0,1.000384601326284e-09,0,1.000384601326284e-09,1.855347888195443e-06,1.000384601326284e-09,6.456934276279375e-07,1.000384601326284e-09,0,1.000384601326284e-09,6.454348075917473e-07,1.000384601326284e-09,1,1.000384601326284e-09,1.560166780574171e-05,1.000384601326284e-09,1.686299932906747e-05,1.000384601326284e-09,1.128038044715175e-05,1.000384601326284e-09,4.961016009690815e-08,1.000384601326284e-09,0,1.000384601326284e-09,0
1.000555355196698e-09,0,1.000555355196698e-09,0,1.000555355196698e-09,0,1.000555355196698e-09,1.527057072830073e-06,1.000555355196698e-09,5.364745189783862e-07,1.000555355196698e-09,0,1.000555355196698e-09,5.361779232844226e-07,1.000555355196698e-09,1,1.000555355196698e-09,1.422346862422039e-05,1.000555355196698e-09,1.545506705813232e-05,1.000555355196698e-09,1.055825375712236e-05,1.000555355196698e-09,4.657822340613523e-08,1.000555355196698e-09,0,1.000555355196698e-09,0
1.000774013994298e-09,0,1.000774013994298e-09,0,1.000774013994298e-09,0,1.000774013994298e-09,1.117251984399175e-06,1.000774013994298e-09,4.060289803625837e-07,1.000774013994298e-09,0,1.000774013994298e-09,4.057246575597109e-07,1.000774013994298e-09,1,1.000774013994298e-09,1.216036360345123e-05,1.000774013994298e-09,1.355692666146343e-05,1.000774013994298e-09,9.672641773990135e-06,1.000774013994298e-09,4.33350908160303e-08,1.000774013994298e-09,0,1.000774013994298e-09,0
1.00106838002268e-09,0,1.00106838002268e-09,0,1.00106838002268e-09,0,1.00106838002268e-09,6.565763379126386e-07,1.00106838002268e-09,2.608685844840567e-07,1.00106838002268e-09,0,1.00106838002268e-09,2.605976067796859e-07,1.00106838002268e-09,1,1.00106838002268e-09,9.646424029720213e-06,1.00106838002268e-09,1.125389107781142e-05,1.00106838002268e-09,8.603044466833983e-06,1.00106838002268e-09,3.959007031408772e-08,1.00106838002268e-09,0,1.00106838002268e-09,0
1.001572800252057e-09,0,1.001572800252057e-09,0,1.001572800252057e-09,0,1.001572800252057e-09,9.27401813465951e-08,1.001572800252057e-09,8.396532349310971e-08,1.001572800252057e-09,0,1.001572800252057e-09,8.38126024969607e-08,1.001572800252057e-09,1,1.001572800252057e-09,6.244092045634679e-06,1.001572800252057e-09,8.175879028862199e-06,1.001572800252057e-09,7.193136243694252e-06,1.001572800252057e-09,3.547128713214323e-08,1.001572800252057e-09,0,1.001572800252057e-09,0
1.002563649236645e-09,0,1.002563649236645e-09,0,1.002563649236645e-09,0,1.002563649236645e-09,-4.59525735189146e-07,1.002563649236645e-09,-8.79786545710768e-08,1.002563649236645e-09,0,1.002563649236645e-09,-8.788411365210406e-08,1.002563649236645e-09,1,1.002563649236645e-09,2.006109945525951e-06,1.002563649236645e-09,4.322682141363774e-06,1.002563649236645e-09,5.422442053805436e-06,1.002563649236645e-09,3.17702454868577e-08,1.002563649236645e-09,0,1.002563649236645e-09,0
1.003870448130742e-09,0,1.003870448130742e-09,0,1.003870448130742e-09,0,1.003870448130742e-09,-5.652159377179784e-07,1.003870448130742e-09,-1.180157550672755e-07,1.003870448130742e-09,0,1.003870448130742e-09,-1.177633404887886e-07,1.003870448130742e-09,1,1.003870448130742e-09,-4.27261979135429e-07,1.003870448130742e-09,2.155026314341652e-06,1.003870448130742e-09,4.452933562633935e-06,1.003870448130742e-09,3.212514534850198e-08,1.003870448130742e-09,0,1.003870448130742e-09,0
1.005452472267245e-09,0,1.005452472267245e-09,0,1.005452472267245e-09,0,1.005452472267245e-09,-3.519692958207944e-07,1.005452472267245e-09,-4.78937875377126e-08,1.005452472267245e-09,0,1.005452472267245e-09,-4.771215134378303e-08,1.005452472267245e-09,1,1.005452472267245e-09,-9.265524346298326e-07,1.005452472267245e-09,1.728394754442635e-06,1.005452472267245e-09,4.277819170908178e-06,1.005452472267245e-09,3.45137520094483e-08,1.005452472267245e-09,0,1.005452472267245e-09,0
1.007376091555412e-09,0,1.007376091555412e-09,0,1.007376091555412e-09,0,1.007376091555412e-09,-4.887016729993041e-08,1.007376091555412e-09,4.951134833050918e-08,1.007376091555412e-09,0,1.007376091555412e-09,4.949568187894723e-08,1.007376091555412e-09,1,1.007376091555412e-09,-1.566724520826439e-07,1.007376091555412e-09,2.483308865530749e-06,1.007376091555412e-09,4.658778337040269e-06,1.007376091555412e-09,3.724816972129167e-08,1.007376091555412e-09,0,1.007376091555412e-09,0
1.009926143362227e-09,0,1.009926143362227e-09,0,1.009926143362227e-09,0,1.009926143362227e-09,1.860676363978307e-07,1.009926143362227e-09,1.238704853476047e-07,1.009926143362227e-09,0,1.009926143362227e-09,1.237184934346364e-07,1.009926143362227e-09,1,1.009926143362227e-09,1.254368193526638e-06,1.009926143362227e-09,3.789652382037245e-06,1.009926143362227e-09,5.277128255453674e-06,1.009926143362227e-09,3.858795732682186e-08,1.009926143362227e-09,0,1.009926143362227e-09,0
1.013666488250965e-09,0,1.013666488250965e-09,0,1.013666488250965e-09,0,1.013666488250965e-09,2.48938462600729e-07,1.013666488250965e-09,1.428530582422739e-07,1.013666488250965e-09,0,1.013666488250965e-09,1.42767065904339e-07,1.013666488250965e-09,1,1.013666488250965e-09,2.647966478708671e-06,1.013666488250965e-09,5.096217180857864e-06,1.013666488250965e-09,5.903055066347131e-06,1.013666488250965e-09,3.840627133433243e-08,1.013666488250965e-09,0,1.013666488250965e-09,0
1.019706825743046e-09,0,1.019706825743046e-09,0,1.019706825743046e-09,0,1.019706825743046e-09,1.487441269468358e-07,1.019706825743046e-09,1.102860596146667e-07,1.019706825743046e-09,0,1.019706825743046e-09,1.103455881500557e-07,1.019706825743046e-09,1,1.019706825743046e-09,3.301112644923191e-06,1.019706825743046e-09,5.693071985862655e-06,1.019706825743046e-09,6.189428025083789e-06,1.019706825743046e-09,3.699580803149625e-08,1.019706825743046e-09,0,1.019706825743046e-09,0
1.028951395333541e-09,0,1.028951395333541e-09,0,1.028951395333541e-09,0,1.028951395333541e-09,7.103179475499766e-08,1.028951395333541e-09,8.592012975712643e-08,1.028951395333541e-09,0,1.028951395333541e-09,8.593452083517213e-08,1.028951395333541e-09,1,1.028951395333541e-09,3.060603865209568e-06,1.028951395333541e-09,5.503926542502017e-06,1.028951395333541e-09,6.13669196122723e-06,1.028951395333541e-09,3.67317240997703e-08,1.028951395333541e-09,0,1.028951395333541e-09,0
1.042025466080736e-09,0,1.042025466080736e-09,0,1.042025466080736e-09,0,1.042025466080736e-09,9.10531457171102e-08,1.042025466080736e-09,9.238971744078712e-08,1.042025466080736e-09,0,1.042025466080736e-09,9.236141106051451e-08,1.042025466080736e-09,1,1.042025466080736e-09,2.832614709084045e-06,1.042025466080736e-09,5.315335923102343e-06,1.042025466080736e-09,6.089170059700314e-06,1.042025466080736e-09,3.700184799134228e-08,1.042025466080736e-09,0,1.042025466080736e-09,0
1.062486462847339e-09,0,1.062486462847339e-09,0,1.062486462847339e-09,0,1.062486462847339e-09,9.684755541008177e-08,1.062486462847339e-09,9.414405472332227e-08,1.062486462847339e-09,0,1.062486462847339e-09,9.416334194221617e-08,1.062486462847339e-09,1,1.062486462847339e-09,2.863707160409721e-06,1.062486462847339e-09,5.409939437233592e-06,1.062486462847339e-09,6.210324191133989e-06,1.062486462847339e-09,3.707219109984337e-08,1.062486462847339e-09,0,1.062486462847339e-09,0
1.097977855052856e-09,0,1.097977855052856e-09,0,1.097977855052856e-09,0,1.097977855052856e-09,9.484249606763227e-08,1.097977855052856e-09,9.354770640954552e-08,1.097977855052856e-09,0,1.097977855052856e-09,9.353428554683414e-08,1.097977855052856e-09,1,1.097977855052856e-09,2.95553231111423e-06,1.097977855052856e-09,5.574127883484692e-06,1.097977855052856e-09,6.403943180066835e-06,1.097977855052856e-09,3.694893803090119e-08,1.097977855052856e-09,0,1.097977855052856e-09,0
1.168960639463891e-09,0,1.168960639463891e-09,0,1.168960639463891e-09,0,1.168960639463891e-09,9.636089144429818e-08,1.168960639463891e-09,9.400841039658458e-08,1.168960639463891e-09,0,1.168960639463891e-09,9.401928741332218e-08,1.168960639463891e-09,1,1.168960639463891e-09,3.149350970886597e-06,1.168960639463891e-09,5.950181830217051e-06,1.168960639463891e-09,6.831452999812037e-06,1.168960639463891e-09,3.70681999998368e-08,1.168960639463891e-09,0,1.168960639463891e-09,0
1.31092620828596e-09,0,1.31092620828596e-09,0,1.31092620828596e-09,0,1.31092620828596e-09,9.503405768693403e-08,1.31092620828596e-09,9.360087985564982e-08,1.31092620828596e-09,0,1.31092620828596e-09,9.359110985065299e-08,1.31092620828596e-09,1,1.31092620828596e-09,3.529968429066801e-06,1.31092620828596e-09,6.657509774453658e-06,1.31092620828596e-09,7.647546307921621e-06,1.31092620828596e-09,3.695002037018e-08,1.31092620828596e-09,0,1.31092620828596e-09,0
1.594857345930098e-09,0,1.594857345930098e-09,0,1.594857345930098e-09,0,1.594857345930098e-09,9.627132554909278e-08,1.594857345930098e-09,9.39833579658349e-08,1.594857345930098e-09,0,1.594857345930098e-09,9.399257099145438e-08,1.594857345930098e-09,1,1.594857345930098e-09,4.295865200370561e-06,1.594857345930098e-09,8.114745222835368e-06,1.594857345930098e-09,9.31761269174493e-06,1.594857345930098e-09,3.706797576074945e-08,1.594857345930098e-09,0,1.594857345930098e-09,0
1.9999e-09,0,1.9999e-09,0,1.9999e-09,0,1.9999e-09,9.508230824437431e-08,1.9999e-09,9.361433913068994e-08,1.9999e-09,0,1.9999e-09,9.36054634222895e-08,1.9999e-09,1,1.9999e-09,5.385407092311495e-06,1.9999e-09,1.01597516474913e-05,1.9999e-09,1.166965809959753e-05,1.9999e-09,3.695049698273194e-08,1.9999e-09,0,1.9999e-09,0
1.99990065e-09,0,1.99990065e-09,0,1.99990065e-09,0,1.99990065e-09,9.488765901842208e-08,1.99990065e-09,9.352077857988729e-08,1.99990065e-09,0,1.99990065e-09,9.351136730568333e-08,1.99990065e-09,1,1.99990065e-09,5.385347516343671e-06,1.99990065e-09,1.015605080767011e-05,1.99990065e-09,1.166623097815276e-05,1.99990065e-09,3.692478125957738e-08,1.99990065e-09,0,1.99990065e-09,0
1.999901950000001e-09,0,1.999901950000001e-09,0,1.999901950000001e-09,0,1.999901950000001e-09,9.414668854907574e-08,1.999901950000001e-09,9.316407287442521e-08,1.999901950000001e-09,0,1.999901950000001e-09,9.31523710378006e-08,1.999901950000001e-09,1,1.999901950000001e-09,5.385067388494518e-06,1.999901950000001e-09,1.013793577555185e-05,1.999901950000001e-09,1.164943656312121e-05,1.999901950000001e-09,3.679276473888317e-08,1.999901950000001e-09,0,1.999901950000001e-09,0
1.999904550000002e-09,0,1.999904550000002e-09,0,1.999904550000002e-09,0,1.999904550000002e-09,8.866003193726305e-08,1.999904550000002e-09,9.052149243974534e-08,1.999904550000002e-09,0,1.999904550000002e-09,9.049345937746136e-08,1.999904550000002e-09,1,1.999904550000002e-09,5.38297285836782e-06,1.999904550000002e-09,1.00397283452546e-05,1.999904550000002e-09,1.155866702593999e-05,1.999904550000002e-09,3.610916774531311e-08,1.999904550000002e-09,0,1.999904550000002e-09,0
1.999907971849416e-09,0,1.999907971849416e-09,0,1.999907971849416e-09,0,1.999907971849416e-09,6.976281816010675e-08,1.999907971849416e-09,8.14395201224468e-08,1.999907971849416e-09,0,1.999907971849416e-09,8.136539233745661e-08,1.999907971849416e-09,1,1.999907971849416e-09,5.374435506797193e-06,1.999907971849416e-09,9.82107369553157e-06,1.999907971849416e-09,1.135843764015839e-05,1.999907971849416e-09,3.475972013785928e-08,1.999907971849416e-09,0,1.999907971849416e-09,0
1.999911822055142e-09,0,1.999911822055142e-09,0,1.999911822055142e-09,0,1.999911822055142e-09,3.231138858705515e-08,1.999911822055142e-09,6.35302201856948e-08,1.999911822055142e-09,0,1.999911822055142e-09,6.338786293741412e-08,1.999911822055142e-09,1,1.999911822055142e-09,5.351310080405427e-06,1.999911822055142e-09,9.512278732267483e-06,1.999911822055142e-09,1.108076886082872e-05,1.999911822055142e-09,3.316756285995128e-08,1.999911822055142e-09,0,1.999911822055142e-09,0
