/D1 (d_del=1e-10) X,/D1 (d_del=1e-10) Y,/D1 (d_del=2e-10) X,/D1 (d_del=2e-10) Y,/D1 (d_del=3e-10) X,/D1 (d_del=3e-10) Y,/I0/output (d_del=1e-10) X,/I0/output (d_del=1e-10) Y,/I0/output (d_del=2e-10) X,/I0/output (d_del=2e-10) Y,/I0/output (d_del=3e-10) X,/I0/output (d_del=3e-10) Y,/V0/MINUS (d_del=1e-10) X,/V0/MINUS (d_del=1e-10) Y,/V0/MINUS (d_del=2e-10) X,/V0/MINUS (d_del=2e-10) Y,/V0/MINUS (d_del=3e-10) X,/V0/MINUS (d_del=3e-10) Y
1.029599898639574e-09,0,1.203646980173514e-09,0,1.319633721377577e-09,0.2678875954080756,1.029599898639574e-09,-5.710413100219108e-05,1.203646980173514e-09,-5.783212578575381e-05,1.319633721377577e-09,-1.866906681473265e-05,1.029599898639574e-09,5.781370731465872e-05,1.203646980173514e-09,5.853786172699983e-05,1.319633721377577e-09,1.958560559560891e-05
1.059840560838105e-09,0,1.206078300289191e-09,0,1.351677423755207e-09,0.1610752541493092,1.059840560838105e-09,-5.306604765846469e-05,1.206078300289191e-09,-5.755129566621188e-05,1.351677423755207e-09,-3.385850832926453e-05,1.059840560838105e-09,5.368234539158327e-05,1.206078300289191e-09,5.825873423112092e-05,1.351677423755207e-09,3.508203620295239e-05
1.113818422812381e-09,0,1.210940940520543e-09,0,1.375838711877604e-09,0.08053762707465462,1.113818422812381e-09,-4.159588832229578e-05,1.210940940520543e-09,-5.697817556420859e-05,1.375838711877604e-09,-4.532164746171598e-05,1.113818422812381e-09,4.209190352212682e-05,1.210940940520543e-09,5.766848692947948e-05,1.375838711877604e-09,4.660854681442834e-05
1.157564910392171e-09,0,1.220666220983248e-09,0,1.4e-09,0,1.157564910392171e-09,-2.523116708139855e-05,1.220666220983248e-09,-5.576858129478578e-05,1.4e-09,-5.559483298869264e-05,1.157564910392171e-09,2.554392729228245e-05,1.220666220983248e-09,5.644505152510346e-05,1.4e-09,5.708463919082201e-05
1.196991437957186e-09,0,1.240116781908659e-09,0,1.4030201610153e-09,0,1.196991437957186e-09,-1.231058317716899e-05,1.240116781908659e-09,-5.305569816847217e-05,1.4030201610153e-09,-5.540993297024297e-05,1.196991437957186e-09,1.254982975301524e-05,1.240116781908659e-09,5.368296945360437e-05,1.4030201610153e-09,5.607966146709268e-05
1.243145316776324e-09,0,1.279017903759479e-09,0,1.409060483045899e-09,0,1.243145316776324e-09,-4.461776103196672e-06,1.279017903759479e-09,-4.563885748452409e-05,1.409060483045899e-09,-5.459505658831604e-05,1.243145316776324e-09,4.509490612723478e-06,1.279017903759479e-09,4.617361833531539e-05,1.409060483045899e-09,5.524698286666512e-05
1.281630268276472e-09,0,1.322777354146796e-09,0,1.417736885934895e-09,0,1.281630268276472e-09,-1.75298708791918e-06,1.322777354146796e-09,-3.108639259308842e-05,1.417736885934895e-09,-5.335069946906101e-05,1.281630268276472e-09,1.817196976808468e-06,1.322777354146796e-09,3.145683995607174e-05,1.417736885934895e-09,5.39885032762076e-05
1.31864708791033e-09,0,1.360431631831429e-09,0,1.435089691712889e-09,0,1.31864708791033e-09,-7.78101691681362e-07,1.360431631831429e-09,-1.701045602406312e-05,1.435089691712889e-09,-5.05275841929015e-05,1.31864708791033e-09,7.601478364048419e-07,1.360431631831429e-09,1.728858116743834e-05,1.435089691712889e-09,5.112036005843915e-05
1.361235285558692e-09,0,1.401154474874589e-09,0,1.469795303268875e-09,0,1.361235285558692e-09,-2.172898070619667e-07,1.401154474874589e-09,-7.416038159697175e-06,1.469795303268875e-09,-4.258506776326374e-05,1.361235285558692e-09,2.535177848396504e-07,1.401154474874589e-09,7.536117105606391e-06,1.469795303268875e-09,4.308290539525232e-05
1.419030438347448e-09,0,1.450285280870813e-09,0,1.508483569395775e-09,0,1.419030438347448e-09,-9.242802263864529e-08,1.450285280870813e-09,-2.258728800558389e-06,1.508483569395775e-09,-2.858786464197595e-05,1.419030438347448e-09,6.194048169889186e-08,1.450285280870813e-09,2.310211901676332e-06,1.508483569395775e-09,2.893799195515271e-05
