/Clk (d_del=4.225641e-10) X,/Clk (d_del=4.225641e-10) Y,/Clk (d_del=4.312821e-10) X,/Clk (d_del=4.312821e-10) Y,/D (d_del=4.225641e-10) X,/D (d_del=4.225641e-10) Y,/D (d_del=4.312821e-10) X,/D (d_del=4.312821e-10) Y,/Q (d_del=4.225641e-10) X,/Q (d_del=4.225641e-10) Y,/Q (d_del=4.312821e-10) X,/Q (d_del=4.312821e-10) Y
5.16144047797406e-11,1,5.16144047797406e-11,1,5.16144047797406e-11,0,5.16144047797406e-11,0,5.16144047797406e-11,0.1141707155850787,5.16144047797406e-11,0.1141707155850787
5.25382550428677e-11,1,5.25382550428677e-11,1,5.25382550428677e-11,0,5.25382550428677e-11,0,5.25382550428677e-11,0.0965587677476358,5.25382550428677e-11,0.0965587677476358
5.389766070119252e-11,1,5.389766070119252e-11,1,5.389766070119252e-11,0,5.389766070119252e-11,0,5.389766070119252e-11,0.0741854606394419,5.389766070119252e-11,0.0741854606394419
5.569491947826338e-11,1,5.569491947826338e-11,1,5.569491947826338e-11,0,5.569491947826338e-11,0,5.569491947826338e-11,0.05102846658331928,5.569491947826338e-11,0.05102846658331928
5.761254567742222e-11,1,5.761254567742222e-11,1,5.761254567742222e-11,0,5.761254567742222e-11,0,5.761254567742222e-11,0.03334221698606876,5.761254567742222e-11,0.03334221698606876
5.975289493806181e-11,1,5.975289493806181e-11,1,5.975289493806181e-11,0,5.975289493806181e-11,0,5.975289493806181e-11,0.02021190952409052,5.975289493806181e-11,0.02021190952409052
6.127188146332824e-11,1,6.127188146332824e-11,1,6.127188146332824e-11,0,6.127188146332824e-11,0,6.127188146332824e-11,0.01398062491311741,6.127188146332824e-11,0.01398062491311741
6.25417306128467e-11,1,6.25417306128467e-11,1,6.25417306128467e-11,0,6.25417306128467e-11,0,6.25417306128467e-11,0.01013954176390838,6.25417306128467e-11,0.01013954176390838
6.393014077549707e-11,1,6.393014077549707e-11,1,6.393014077549707e-11,0,6.393014077549707e-11,0,6.393014077549707e-11,0.006973794068971166,6.393014077549707e-11,0.006973794068971166
6.516162500018208e-11,1,6.516162500018208e-11,1,6.516162500018208e-11,0,6.516162500018208e-11,0,6.516162500018208e-11,0.004721549960835549,6.516162500018208e-11,0.004721549960835549
6.607545238328372e-11,1,6.607545238328372e-11,1,6.607545238328372e-11,0,6.607545238328372e-11,0,6.607545238328372e-11,0.003353668972804436,6.607545238328372e-11,0.003353668972804436
6.706566814510206e-11,1,6.706566814510206e-11,1,6.706566814510206e-11,0,6.706566814510206e-11,0,6.706566814510206e-11,0.002202414080194986,6.706566814510206e-11,0.002202414080194986
6.833291519887463e-11,1,6.833291519887463e-11,1,6.833291519887463e-11,0,6.833291519887463e-11,0,6.833291519887463e-11,0.001169165495338857,6.833291519887463e-11,0.001169165495338857
6.974294713501538e-11,1,6.974294713501538e-11,1,6.974294713501538e-11,0,6.974294713501538e-11,0,6.974294713501538e-11,0.0004149100385356352,6.974294713501538e-11,0.0004149100385356352
7.090491532797159e-11,1,7.090491532797159e-11,1,7.090491532797159e-11,0,7.090491532797159e-11,0,7.090491532797159e-11,6.723674583948681e-06,7.090491532797159e-11,6.723674583948681e-06
7.223505936046495e-11,1,7.223505936046495e-11,1,7.223505936046495e-11,0,7.223505936046495e-11,0,7.223505936046495e-11,-0.0003208364925535341,7.223505936046495e-11,-0.0003208364925535341
7.401209201514911e-11,1,7.401209201514911e-11,1,7.401209201514911e-11,0,7.401209201514911e-11,0,7.401209201514911e-11,-0.0005719220868659042,7.401209201514911e-11,-0.0005719220868659042
7.686948700125423e-11,1,7.686948700125423e-11,1,7.686948700125423e-11,0,7.686948700125423e-11,0,7.686948700125423e-11,-0.0007178009733111356,7.686948700125423e-11,-0.0007178009733111356
8.084439015526789e-11,1,8.084439015526789e-11,1,8.084439015526789e-11,0,8.084439015526789e-11,0,8.084439015526789e-11,-0.0006554852332541635,8.084439015526789e-11,-0.0006554852332541635
8.579870636878105e-11,1,8.579870636878105e-11,1,8.579870636878105e-11,0,8.579870636878105e-11,0,8.579870636878105e-11,-0.0004316839778984243,8.579870636878105e-11,-0.0004316839778984243
9.205401187335721e-11,1,9.205401187335721e-11,1,9.205401187335721e-11,0,9.205401187335721e-11,0,9.205401187335721e-11,-0.0001058449934181251,9.205401187335721e-11,-0.0001058449934181251
9.857116963092332e-11,1,9.857116963092332e-11,1,9.857116963092332e-11,0,9.857116963092332e-11,0,9.857116963092332e-11,0.0002589411999706193,9.857116963092332e-11,0.0002589411999706193
1.03717783525021e-10,1,1.03717783525021e-10,1,1.03717783525021e-10,0,1.03717783525021e-10,0,1.03717783525021e-10,0.0005246494356915685,1.03717783525021e-10,0.0005246494356915685
1.102727376020399e-10,1,1.102727376020399e-10,1,1.102727376020399e-10,0,1.102727376020399e-10,0,1.102727376020399e-10,0.0006498124870331998,1.102727376020399e-10,0.0006498124870331998
1.152492802430509e-10,1,1.152492802430509e-10,1,1.152492802430509e-10,0,1.152492802430509e-10,0,1.152492802430509e-10,0.00059973912026838,1.152492802430509e-10,0.00059973912026838
1.213959175515297e-10,1,1.213959175515297e-10,1,1.213959175515297e-10,0,1.213959175515297e-10,0,1.213959175515297e-10,0.000505093940055568,1.213959175515297e-10,0.000505093940055568
1.284514771404088e-10,1,1.284514771404088e-10,1,1.284514771404088e-10,0,1.284514771404088e-10,0,1.284514771404088e-10,0.0003669894547721131,1.284514771404088e-10,0.0003669894547721131
1.386783120132292e-10,1,1.386783120132292e-10,1,1.386783120132292e-10,0,1.386783120132292e-10,0,1.386783120132292e-10,0.0002162511993667395,1.386783120132292e-10,0.0002162511993667395
