/Q (d_del=4.574359e-10) X,/Q (d_del=4.574359e-10) Y,/Q (d_del=4.623077e-10) X,/Q (d_del=4.623077e-10) Y,/D (d_del=4.574359e-10) X,/D (d_del=4.574359e-10) Y,/D (d_del=4.623077e-10) X,/D (d_del=4.623077e-10) Y,/Clk (d_del=4.574359e-10) X,/Clk (d_del=4.574359e-10) Y,/Clk (d_del=4.623077e-10) X,/Clk (d_del=4.623077e-10) Y
2.683385443910683e-10,0.9998045668792006,2.683385443910683e-10,0.9998045668792006,2.683385443910683e-10,1,2.683385443910683e-10,1,2.683385443910683e-10,1,2.683385443910683e-10,1
3.236847942082144e-10,0.9998649735003281,3.236847942082144e-10,0.9998649735003281,3.236847942082144e-10,1,3.236847942082144e-10,1,3.236847942082144e-10,1,3.236847942082144e-10,1
3.943182967908326e-10,0.9999039893905308,3.943182967908326e-10,0.9999039893905308,3.943182967908326e-10,1,3.943182967908326e-10,1,3.943182967908326e-10,1,3.943182967908326e-10,1
4.57435897435897e-10,0.9999251365254572,4.62307692307692e-10,0.9999264194856308,4.57435897435897e-10,1,4.62307692307692e-10,1,4.57435897435897e-10,1,4.62307692307692e-10,1
5e-10,0.9999340574257727,5e-10,0.999934201170175,5e-10,1,5e-10,1,5e-10,1,5e-10,1
5.00048828125e-10,0.9999028498717623,5.00048828125e-10,0.9999029930450982,5.00048828125e-10,1,5.00048828125e-10,1,5.00048828125e-10,0.9990234374999999,5.00048828125e-10,0.9990234374999999
5.00146484375e-10,0.9998412786764455,5.00146484375e-10,0.9998414215695169,5.00146484375e-10,1,5.00146484375e-10,1,5.00146484375e-10,0.9970703124999998,5.00146484375e-10,0.9970703124999998
5.003417968750001e-10,0.999720249846473,5.003417968750001e-10,0.9997203915222026,5.003417968750001e-10,1,5.003417968750001e-10,1,5.003417968750001e-10,0.9931640624999994,5.003417968750001e-10,0.9931640624999994
5.007324218750001e-10,0.9994983207650912,5.007324218750001e-10,0.9994984591422044,5.007324218750001e-10,1,5.007324218750001e-10,1,5.007324218750001e-10,0.9853515624999989,5.007324218750001e-10,0.9853515624999989
5.013169927553226e-10,0.99921470799881,5.013169924663162e-10,0.9992148388143905,5.013169927553226e-10,1,5.013169924663162e-10,1,5.013169927553226e-10,0.9736601448935485,5.013169924663162e-10,0.9736601506736756
5.021452741565269e-10,0.9988960970730129,5.021452741571811e-10,0.9988962143097955,5.021452741565269e-10,1,5.021452741571811e-10,1,5.021452741565269e-10,0.9570945168694618,5.021452741571811e-10,0.9570945168563779
5.033140229131185e-10,0.9985788333806209,5.03314022714068e-10,0.9985789294314786,5.033140229131185e-10,1,5.03314022714068e-10,1,5.033140229131185e-10,0.9337195417376312,5.03314022714068e-10,0.9337195457186405
5.05328775568794e-10,0.9982620420492271,5.053287753331522e-10,0.9982621052895529,5.05328775568794e-10,1,5.053287753331522e-10,1,5.05328775568794e-10,0.8934244886241212,5.053287753331522e-10,0.8934244933369558
5.09358280880145e-10,0.9980351662209388,5.093582805713207e-10,0.9980351885600706,5.09358280880145e-10,1,5.093582805713207e-10,1,5.09358280880145e-10,0.8128343823971014,5.093582805713207e-10,0.8128343885735866
5.15186450388885e-10,0.9979884220723001,5.151864417423518e-10,0.9979884254137004,5.15186450388885e-10,1,5.151864417423518e-10,1,5.15186450388885e-10,0.6962709922223014,5.151864417423518e-10,0.6962711651529656
5.232293858267421e-10,0.9979669724724765,5.232293847975958e-10,0.9979669724514353,5.232293858267421e-10,1,5.232293847975958e-10,1,5.232293858267421e-10,0.5354122834651583,5.232293847975958e-10,0.5354123040480838
5.270687438010432e-10,0.9979989308262447,5.270687412892242e-10,0.9979989309286836,5.270687438010432e-10,1,5.270687412892242e-10,1,5.270687438010432e-10,0.458625123979137,5.270687412892242e-10,0.4586251742155176
5.301986541866024e-10,0.9980969402632583,5.301986516465231e-10,0.998096940200018,5.301986541866024e-10,1,5.301986516465231e-10,1,5.301986541866024e-10,0.3960269162679531,5.301986516465231e-10,0.3960269670695378
5.342034800533606e-10,0.9983291426623031,5.342034785408004e-10,0.9983291427077883,5.342034800533606e-10,1,5.342034785408004e-10,1,5.342034800533606e-10,0.3159303989327894,5.342034785408004e-10,0.3159304291839921
5.373257545196629e-10,0.9985744507690225,5.37325753075342e-10,0.9985744506615351,5.373257545196629e-10,1,5.37325753075342e-10,1,5.373257545196629e-10,0.2534849096067427,5.37325753075342e-10,0.2534849384931616
5.407236309495279e-10,0.998861278749547,5.407236293806308e-10,0.99886127872293,5.407236309495279e-10,1,5.407236293806308e-10,1,5.407236309495279e-10,0.1855273810094432,5.407236293806308e-10,0.1855274123873838
5.445786430675118e-10,0.9991825614179143,5.445786409394943e-10,0.999182561191829,5.445786430675118e-10,1,5.445786409394943e-10,1,5.445786430675118e-10,0.1084271386497654,5.445786409394943e-10,0.1084271812101146
5.459922513437878e-10,0.9992930984018629,5.459922492027138e-10,0.9992930983183917,5.459922513437878e-10,1,5.459922492027138e-10,1,5.459922513437878e-10,0.08015497312424524,5.459922492027138e-10,0.08015501594572494
5.474174267424615e-10,0.9993972447115359,5.474174246803333e-10,0.9993972445196831,5.474174267424615e-10,1,5.474174246803333e-10,1,5.474174267424615e-10,0.05165146515077057,5.474174246803333e-10,0.05165150639333416
5.489583268376633e-10,0.9995076370500041,5.489583250425542e-10,0.9995076369952147,5.489583268376633e-10,1,5.489583250425542e-10,1,5.489583268376633e-10,0.02083346324673407,5.489583250425542e-10,0.02083349914891619
5.500000000000001e-10,0.9995848509210974,5.500000000000001e-10,0.9995848508755849,5.500000000000001e-10,1,5.500000000000001e-10,1,5.500000000000001e-10,0,5.500000000000001e-10,0
5.500321390858676e-10,0.9996056302280297,5.50032139096923e-10,0.9996056302498674,5.500321390858676e-10,1,5.50032139096923e-10,1,5.500321390858676e-10,0,5.50032139096923e-10,0
5.500964172576028e-10,0.9996490095457895,5.500964172907689e-10,0.9996490095911263,5.500964172576028e-10,1,5.500964172907689e-10,1,5.500964172576028e-10,0,5.500964172907689e-10,0
5.501285563434704e-10,0.9996706830695963,5.501285563876919e-10,0.9996706831173177,5.501285563434704e-10,1,5.501285563876919e-10,1,5.501285563434704e-10,0,5.501285563876919e-10,0
5.501928345152055e-10,0.999713127375141,5.501928345815378e-10,0.9997131274424328,5.501928345152055e-10,1,5.501928345815378e-10,1,5.501928345152055e-10,0,5.501928345815378e-10,0
5.503213908586758e-10,0.999795608978495,5.503213909692296e-10,0.9997956090702591,5.503213908586758e-10,1,5.503213909692296e-10,1,5.503213908586758e-10,0,5.503213909692296e-10,0
5.505785035456164e-10,0.9999489686236979,5.505785037446131e-10,0.999948968767106,5.505785035456164e-10,1,5.505785037446131e-10,1,5.505785035456164e-10,0,5.505785037446131e-10,0
5.510786489307395e-10,1.000226329815059,5.51078649221116e-10,1.000226329999053,5.510786489307395e-10,1,5.51078649221116e-10,1,5.510786489307395e-10,0,5.51078649221116e-10,0
5.518032052993307e-10,1.000547464551026,5.518032057756541e-10,1.000547464778281,5.518032052993307e-10,1,5.518032057756541e-10,1,5.518032052993307e-10,0,5.518032057756541e-10,0
5.530655960564577e-10,1.000974717812139,5.530655969837851e-10,1.000974718087297,5.530655960564577e-10,1,5.530655969837851e-10,1,5.530655960564577e-10,0,5.530655969837851e-10,0
5.549331360706194e-10,1.001290468276736,5.549331372391376e-10,1.001290468456481,5.549331360706194e-10,1,5.549331372391376e-10,1,5.549331360706194e-10,0,5.549331372391376e-10,0
5.571855911647266e-10,1.001443255156278,5.571855926158751e-10,1.001443255242312,5.571855911647266e-10,1,5.571855926158751e-10,1,5.571855911647266e-10,0,5.571855926158751e-10,0
5.599301378251834e-10,1.001473601386057,5.599301395917887e-10,1.001473601423175,5.599301378251834e-10,1,5.599301395917887e-10,1,5.599301378251834e-10,0,5.599301395917887e-10,0
5.62249982689829e-10,1.001476797245261,5.62249984372552e-10,1.001476797281261,5.62249982689829e-10,1,5.62249984372552e-10,1,5.62249982689829e-10,0,5.62249984372552e-10,0
5.651423752544784e-10,1.001500172158334,5.651423778449301e-10,1.00150017221724,5.651423752544784e-10,1,5.651423778449301e-10,1,5.651423752544784e-10,0,5.651423778449301e-10,0
5.688184094828794e-10,1.001534639634489,5.688184113313018e-10,1.00153463967402,5.688184094828794e-10,1,5.688184113313018e-10,1,5.688184094828794e-10,0,5.688184113313018e-10,0
5.728753067254316e-10,1.001531593106829,5.728753106121535e-10,1.00153159311828,5.728753067254316e-10,1,5.728753106121535e-10,1,5.728753067254316e-10,0,5.728753106121535e-10,0
5.762771251092667e-10,1.001501812280176,5.762771281364243e-10,1.001501812281898,5.762771251092667e-10,1,5.762771281364243e-10,1,5.762771251092667e-10,0,5.762771281364243e-10,0
5.79566062897846e-10,1.001471705224314,5.795660664575508e-10,1.001471705227302,5.79566062897846e-10,1,5.795660664575508e-10,1,5.79566062897846e-10,0,5.795660664575508e-10,0
5.834060458168925e-10,1.001441786598941,5.834060497212846e-10,1.001441786601072,5.834060458168925e-10,1,5.834060497212846e-10,1,5.834060458168925e-10,0,5.834060497212846e-10,0
5.885346325162266e-10,1.001413291586506,5.885346381135212e-10,1.001413291594898,5.885346325162266e-10,1,5.885346381135212e-10,1,5.885346325162266e-10,0,5.885346381135212e-10,0
5.952185550266181e-10,1.00139194260299,5.952185623540411e-10,1.001391942616759,5.952185550266181e-10,1,5.952185623540411e-10,1,5.952185550266181e-10,0,5.952185623540411e-10,0
6.049626498546333e-10,1.001385802514045,6.049626611277388e-10,1.001385802553105,6.049626498546333e-10,1,6.049626611277388e-10,1,6.049626498546333e-10,0,6.049626611277388e-10,0
6.198322540262498e-10,1.001419245053411,6.198322715363363e-10,1.001419245135228,6.198322540262498e-10,1,6.198322715363363e-10,1,6.198322540262498e-10,0,6.198322715363363e-10,0
6.470396534633728e-10,1.00158743821148,6.470396883321408e-10,1.001587438313012,6.470396534633728e-10,1,6.470396883321408e-10,1,6.470396534633728e-10,0,6.470396883321408e-10,0
